"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"22k";;;
2;"C1,C3";"CP_Radial_D10.0mm_P5.00mm";2;"20u";;;
3;"Q1";"TO-92_Molded_Narrow";1;"BC547";;;
4;"C2";"CP_Radial_D10.0mm_P5.00mm";1;"50u";;;
5;"J3";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"Power";;;
6;"J1";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"Signal in";;;
7;"J2";"TerminalBlock_Altech_AK300-2_P5.00mm";1;"Signal out";;;
8;"R2";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"6,8k";;;
9;"R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"4,7k";;;
10;"R4";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"1,8k";;;
